order_id,created_date,total_paid,state,unit_price_total,diff_paid_price
241423,2017-11-06 13:10:02,136.15,Completed,129.16,7.0
242832,2017-12-31 17:40:03,15.76,Completed,10.77,5.0
243330,2017-02-16 10:59:38,84.98,Completed,77.99,7.0
245275,2017-06-28 11:35:37,149.0,Completed,149.0,0.0
245595,2017-01-21 12:52:47,112.97,Completed,105.98,7.0
246018,2017-02-13 23:02:57,211.95,Completed,206.95999999999998,5.0
247524,2018-01-09 14:21:34,167.98,Completed,162.99,5.0
247643,2017-05-26 11:50:35,153.54,Completed,153.54,0.0
250275,2017-11-19 22:34:54,54.99,Completed,51.0,4.0
251302,2017-05-10 12:27:33,140.99,Completed,140.99,0.0
253220,2017-10-04 19:37:10,1610.0,Completed,1609.99,0.0
253307,2017-09-30 06:11:10,292.04,Completed,285.05,7.0
254301,2017-01-08 13:10:53,35.91,Completed,28.92,7.0
254341,2017-07-31 10:25:35,34.98,Completed,34.98,0.0
254441,2017-05-09 14:00:45,56.98,Completed,49.99,7.0
254816,2017-01-12 15:57:20,283.83,Completed,276.84,7.0
256158,2017-08-05 19:51:20,386.18,Completed,386.18,0.0
256679,2017-11-26 10:43:04,20.58,Completed,13.59,7.0
257280,2017-12-20 14:49:52,260.0,Completed,260.0,0.0
258155,2018-01-22 18:51:50,40.76,Completed,33.769999999999996,7.0
258530,2017-08-30 10:54:18,7.78,Completed,3.79,4.0
259192,2017-11-09 11:15:51,195.74,Completed,188.74,7.0
259283,2017-12-22 09:19:28,24.98,Completed,19.99,5.0
260615,2017-01-10 18:59:49,225.16,Completed,218.17,7.0
261289,2017-06-21 08:21:20,192.98,Completed,185.99,7.0
261656,2017-08-24 19:28:24,44.98,Completed,39.99,5.0
261978,2017-01-10 00:19:44,109.98,Completed,109.99,-0.0
262236,2017-06-05 10:02:29,122.97,Completed,117.97999999999999,5.0
263733,2017-02-06 13:06:34,372.98,Completed,365.99,7.0
263738,2017-08-16 17:05:25,80.96,Completed,73.97,7.0
